id,nombre,horasTrabajadas,sueldo
1000,Jessie,175,36450
999,Lauralee,95,17100
998,Abbye,125,22800
997,Viole,131,24240
996,Mab,127,23280
995,Tabbie,110,19800
994,Jen,152,29280
993,Sisely,158,30720
992,Giselle,175,36450
991,Wendie,225,53950
990,Karoly,85,15300
989,Bethanne,236,57800
988,Tybie,109,19620
987,Marlane,92,16560
986,Hugh,142,26880
985,Randal,119,21420
984,Stormi,135,25200
983,Anthia,84,15120
982,Valerye,136,25440
981,Torr,234,57100
980,Francisco,85,15300
979,Fredrika,143,27120
978,Jenelle,110,19800
977,Riannon,209,48350
976,Christoffer,153,29520
975,Enrico,123,22320
974,Ellette,215,50450
973,Bogart,174,36100
972,Wyatt,176,36800
971,Seumas,96,17280
970,Gavrielle,125,22800
969,Normand,109,19620
968,Emma,227,54650
967,Donielle,186,40300
966,Joannes,147,28080
965,Bryna,102,18360
964,Mariam,216,50800
963,Waldo,207,47650
962,Cookie,100,18000
961,Garik,97,17460
960,Chaddy,227,54650
959,Morty,192,42400
958,Ashleigh,216,50800
957,Irwinn,174,36100
956,Brian,196,43800
955,Giacomo,190,41700
954,Harmonia,179,37850
953,Burr,102,18360
952,Chiquita,181,38550
951,Vale,210,48700
950,Humphrey,211,49050
949,Sherman,182,38900
948,Georgie,184,39600
947,Cornelius,226,54300
946,Dewey,145,27600
945,Noe,105,18900
944,Suzanna,142,26880
943,Westleigh,88,15840
942,Egor,189,41350
941,Charlene,176,36800
940,Francisco,140,26400
939,Brynna,196,43800
938,Drona,164,32600
937,Jennine,115,20700
936,Clayson,229,55350
935,Anne-marie,231,56050
934,Debby,181,38550
933,Rafferty,87,15660
932,Joya,178,37500
931,Allyson,91,16380
930,Conn,115,20700
929,Ringo,181,38550
928,Lulita,197,44150
927,Erda,135,25200
926,Galvin,195,43450
925,Tiena,95,17100
924,Skipp,137,25680
923,Nealon,175,36450
922,Loria,154,29760
921,Faunie,137,25680
920,Sibilla,237,58150
919,Kimmie,143,27120
918,Lisette,211,49050
917,Dulci,183,39250
916,Boigie,212,49400
915,Curt,240,59200
914,Sheppard,112,20160
913,Reggi,115,20700
912,Ailyn,186,40300
911,Dun,132,24480
910,Mortie,114,20520
909,Edik,108,19440
908,Godfry,196,43800
907,Cheston,181,38550
906,Reinald,102,18360
905,Trude,136,25440
904,Meghann,96,17280
903,Constancia,194,43100
902,Richmound,123,22320
901,Lorry,126,23040
900,Spike,186,40300
899,Yuri,82,14760
898,Sidoney,158,30720
897,Isadora,205,46950
896,Haze,153,29520
895,Winnie,182,38900
894,Tedda,188,41000
893,Jamal,237,58150
892,Horst,205,46950
891,Philip,239,58850
890,Isidoro,158,30720
889,Constantin,178,37500
888,Shay,86,15480
887,Amil,123,22320
886,Amelita,208,48000
885,Pablo,240,59200
884,Arabelle,204,46600
883,Gay,158,30720
882,Jesus,171,35050
881,Nettle,181,38550
880,Mortimer,105,18900
879,Tressa,162,31900
878,Cherye,179,37850
877,Marcos,238,58500
876,Maggi,220,52200
875,Ruby,225,53950
874,Brett,192,42400
873,Murray,178,37500
872,Tressa,159,30960
871,Tonie,146,27840
870,Frieda,226,54300
869,Benni,84,15120
868,Hoyt,171,35050
867,Hansiain,116,20880
866,Fidel,146,27840
865,Drew,188,41000
864,Kathrine,204,46600
863,Jaclin,238,58500
862,Ray,233,56750
861,Anthia,108,19440
860,Claribel,142,26880
859,Chase,193,42750
858,Brietta,172,35400
857,Monah,160,31200
856,Gilli,209,48350
855,Al,205,46950
854,Karry,182,38900
853,Colas,99,17820
852,Tamara,113,20340
851,Parke,115,20700
850,Frankie,117,21060
849,Quinn,176,36800
848,Giulio,96,17280
847,Noe,97,17460
846,Cosmo,179,37850
845,Harrie,129,23760
844,Stormy,208,48000
843,Berkly,108,19440
842,Sarah,90,16200
841,Juliann,102,18360
840,Evelyn,226,54300
839,Forester,143,27120
838,Ibrahim,212,49400
837,Winnie,224,53600
836,Bertine,95,17100
835,Alfons,167,33650
834,Doug,209,48350
833,Courtney,121,21840
832,Barbra,219,51850
831,Shane,181,38550
830,Natividad,88,15840
